epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.508,1.28093,1.2496,1.25265,0.95923,0.87946,0.94093,0.58296,1.33945,0.73,1.29473,0.000666163,0.000666163,0.000666163
2,837.99,1.2854,0.81572,1.2695,0.94279,0.88885,0.94039,0.57699,1.35692,0.70244,1.30681,0.00128885,0.00128885,0.00128885
3,1248.07,1.25867,0.76545,1.26195,0.93215,0.90218,0.94561,0.61263,1.2604,0.68463,1.26699,0.00186753,0.00186753,0.00186753
4,1656.89,1.2298,0.71668,1.24929,0.95501,0.91597,0.95694,0.60813,1.30082,0.5915,1.26949,0.001802,0.001802,0.001802
5,2065.6,1.20253,0.67136,1.23192,0.94761,0.91622,0.95139,0.59454,1.32601,0.57039,1.30232,0.001736,0.001736,0.001736
6,2474.91,1.17722,0.64497,1.21683,0.9642,0.94184,0.96805,0.63917,1.22789,0.53558,1.22326,0.00167,0.00167,0.00167
7,2884.26,1.17171,0.62438,1.20833,0.96481,0.93866,0.96967,0.65231,1.20699,0.50358,1.21659,0.001604,0.001604,0.001604
8,3293.08,1.15185,0.60542,1.19802,0.96443,0.9409,0.97002,0.64765,1.22488,0.49552,1.21658,0.001538,0.001538,0.001538
9,3701.84,1.13322,0.58639,1.18606,0.97344,0.94278,0.97344,0.65944,1.19349,0.47874,1.20667,0.001472,0.001472,0.001472
10,4111.06,1.12549,0.57424,1.18534,0.98063,0.9348,0.97357,0.66434,1.17872,0.47437,1.19593,0.001406,0.001406,0.001406
11,4520.34,1.1166,0.56517,1.18044,0.97207,0.947,0.97401,0.66475,1.18816,0.46699,1.19638,0.00134,0.00134,0.00134
12,4929.17,1.10668,0.55643,1.17206,0.97708,0.94418,0.97547,0.66914,1.16296,0.46491,1.18362,0.001274,0.001274,0.001274
13,5339.79,1.09873,0.54703,1.16743,0.97993,0.94934,0.97891,0.67292,1.15907,0.45741,1.18291,0.001208,0.001208,0.001208
14,5749.24,1.08914,0.53469,1.16206,0.97635,0.94865,0.9791,0.68089,1.14894,0.44698,1.17397,0.001142,0.001142,0.001142
15,6158.83,1.07654,0.52477,1.15852,0.97109,0.95591,0.97943,0.68534,1.13793,0.44189,1.16076,0.001076,0.001076,0.001076
16,6568.37,1.06837,0.52019,1.14937,0.98005,0.94492,0.979,0.68561,1.13023,0.43015,1.1524,0.00101,0.00101,0.00101
17,6977.67,1.06217,0.50914,1.14834,0.97335,0.95932,0.97985,0.68409,1.12297,0.42951,1.1585,0.000944,0.000944,0.000944
18,7386.93,1.05447,0.49825,1.13997,0.9755,0.95732,0.98035,0.68489,1.14056,0.41832,1.16728,0.000878,0.000878,0.000878
19,7796.08,1.0438,0.49339,1.13864,0.97592,0.95048,0.98089,0.68832,1.13442,0.415,1.1629,0.000812,0.000812,0.000812
20,8205.34,1.03127,0.48382,1.13277,0.96923,0.96049,0.98056,0.69264,1.12087,0.41101,1.15174,0.000746,0.000746,0.000746
21,8596.77,1.01988,0.41031,1.15733,0.97591,0.95966,0.98153,0.69027,1.12301,0.41366,1.15628,0.00068,0.00068,0.00068
22,8987.94,1.00722,0.40074,1.14995,0.97149,0.95908,0.9818,0.69579,1.12276,0.40772,1.15619,0.000614,0.000614,0.000614
23,9378.85,0.99549,0.39082,1.14377,0.97246,0.9606,0.97954,0.69217,1.12346,0.40849,1.15671,0.000548,0.000548,0.000548
24,9769.95,0.98348,0.38521,1.13803,0.97399,0.96592,0.98455,0.69159,1.12287,0.40172,1.15737,0.000482,0.000482,0.000482
25,10162.6,0.97241,0.3769,1.12428,0.97915,0.95591,0.98377,0.69754,1.11987,0.39673,1.15185,0.000416,0.000416,0.000416
26,10554.4,0.96808,0.37122,1.1247,0.98028,0.95497,0.98312,0.69876,1.11828,0.39385,1.15377,0.00035,0.00035,0.00035
27,10946.3,0.95428,0.36521,1.12153,0.97909,0.95779,0.98364,0.70231,1.11484,0.39119,1.15155,0.000284,0.000284,0.000284
28,11338.2,0.94615,0.35696,1.11411,0.9789,0.95872,0.98357,0.69973,1.1154,0.38981,1.15127,0.000218,0.000218,0.000218
29,11729.9,0.93347,0.35088,1.10695,0.9822,0.9576,0.98498,0.70003,1.11406,0.38825,1.15163,0.000152,0.000152,0.000152
30,12121.4,0.92983,0.34679,1.10537,0.98032,0.95781,0.98492,0.70218,1.1136,0.38816,1.15271,8.6e-05,8.6e-05,8.6e-05
